"What is your present religion, if any?",,Do you attend religious services,"How often do you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How often do you: Pray in public using some kind of physical object (rosary, tefillin, etc)",How often do you: Pray aloud before meals in the presence of people who don't belong to your religion,How often do you: Tell someone you'll pray for him or her,How often do you: Ask or offer to pray with someone,"How often do you: Bring up your religion, unprompted, in conversation","How often do you: Ask others about their religion, unprompted, in conversation","How often do you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How often do you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How often do you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)",What is your age?,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region
None of these,Don't believe in religion.,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45 - 59,Male,Prefer not to answer,New England
Protestant,,Weekly or more,Never,Once a year or less,Every day,A few times per week,A few times per month,A few times per month,A few times per week,Never,Never,Once a year or less,45 - 59,Male,"$10,000 to $24,999",West South Central
None of these,No religious affiliation,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45 - 59,Male,"$200,000 and up",South Atlantic
Protestant,,Weekly or more,Never,Not applicable to my religious beliefs,Every day,Every day,A few times per week,Every day,Every day,A few times per month,Never,A few times per week,18 - 29,Male,"$10,000 to $24,999",
Protestant,,Less than weekly,Not applicable to my religious beliefs,Not applicable to my religious beliefs,A few times per month,Once a year or less,Once a year or less,Once a month or less,Once a year or less,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,45 - 59,Male,"$75,000 to $99,999",Pacific
Hindu,,Never,Never,Not applicable to my religious beliefs,Never,Never,Not applicable to my religious beliefs,Once a year or less,Never,Every day,Not applicable to my religious beliefs,Never,18 - 29,Male,"$10,000 to $24,999",East North Central
Roman Catholic,,Weekly or more,A few times per month,Never,A few times per month,A few times per month,Once a month or less,Once a month or less,Never,Once a month or less,Never,Never,45 - 59,Male,"$10,000 to $24,999",South Atlantic
Roman Catholic,,Weekly or more,Every day,Every day,Every day,Never,Never,Never,Never,A few times per week,Never,Never,45 - 59,Male,Prefer not to answer,South Atlantic
Protestant,,Weekly or more,Never,Never,Never,Once a month or less,Once a month or less,Never,Never,Never,Never,Never,45 - 59,Male,"$200,000 and up",East North Central
Roman Catholic,,Less than weekly,Every day,A few times per month,Never,A few times per month,Never,Never,Never,Never,Every day,Never,45 - 59,Male,"$10,000 to $24,999",New England
Agnostic,,Never,Once a year or less,Never,Once a year or less,Once a month or less,Once a year or less,Never,Never,Never,Never,Never,45 - 59,Male,Prefer not to answer,Middle Atlantic
Jewish,,Never,Not applicable to my religious beliefs,Never,Never,Never,Never,Never,Never,Never,Never,Never,45 - 59,Male,"$10,000 to $24,999",Pacific
Protestant,,Weekly or more,A few times per month,Never,Once a month or less,A few times per month,A few times per month,A few times per month,A few times per month,Once a year or less,Never,Never,18 - 29,Male,"$25,000 to $49,999",East South Central
None of these,Presperterian,Less than weekly,Once a month or less,Never,A few times per week,A few times per month,Never,Never,Never,Never,Never,Never,45 - 59,Male,"$50,000 to $74,999",Mountain
Orthodox Christian,,Less than weekly,Every day,Every day,Every day,Every day,Every day,Every day,A few times per week,Never,Never,Never,45 - 59,Male,"$0 to $9,999",Pacific
Protestant,,Weekly or more,Never,Never,Every day,Once a year or less,Never,A few times per month,Never,Not applicable to my religious beliefs,Never,Once a year or less,45 - 59,Male,"$150,000 to $174,999",Middle Atlantic
Protestant,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,18 - 29,Male,Prefer not to answer,Pacific
Atheist,,,,,,,,,,,,,45 - 59,Male,"$75,000 to $99,999",West North Central
Agnostic,,Less than weekly,Once a year or less,Never,Once a year or less,Never,Never,Never,Never,Never,Never,Never,18 - 29,Male,"$50,000 to $74,999",East North Central
Protestant,,Weekly or more,Once a month or less,Not applicable to my religious beliefs,Once a month or less,A few times per month,Never,Once a month or less,A few times per month,Once a month or less,A few times per month,Once a year or less,18 - 29,Male,"$0 to $9,999",South Atlantic
Atheist,,,,,,,,,,,,,45 - 59,Male,"$100,000 to $124,999",Pacific
Orthodox Christian,,Never,Once a month or less,Once a month or less,Once a month or less,A few times per week,A few times per month,A few times per month,A few times per month,Once a month or less,Once a year or less,A few times per week,18 - 29,Male,"$0 to $9,999",East North Central
Atheist,,,,,,,,,,,,,45 - 59,Male,"$25,000 to $49,999",East North Central
Agnostic,,Never,Every day,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a year or less,Never,Never,Never,45 - 59,Male,"$50,000 to $74,999",Pacific
Roman Catholic,,Less than weekly,Once a month or less,Never,Once a month or less,Once a year or less,Never,Once a month or less,Once a month or less,Once a year or less,Never,Once a year or less,45 - 59,Male,"$200,000 and up",Pacific
Atheist,,,,,,,,,,,,,45 - 59,Male,"$50,000 to $74,999",Pacific
Roman Catholic,,Less than weekly,Every day,A few times per month,Every day,A few times per week,Once a month or less,Never,Never,Never,Every day,Never,45 - 59,Male,"$0 to $9,999",Mountain
Orthodox Christian,,Less than weekly,A few times per month,Never,A few times per week,A few times per month,A few times per month,Once a month or less,Never,Once a year or less,Once a year or less,Never,45 - 59,Male,Prefer not to answer,New England
None of these,none,Never,Never,Never,Never,Never,Never,Never,Never,Never,Every day,Never,18 - 29,Male,"$125,000 to $149,999",Pacific
Orthodox Christian,,Weekly or more,A few times per week,A few times per week,Every day,A few times per week,A few times per week,Never,Never,Never,Never,Never,45 - 59,Male,"$50,000 to $74,999",Pacific
Atheist,,,,,,,,,,,,,60+,Female,"$100,000 to $124,999",Middle Atlantic
Agnostic,,Less than weekly,Never,A few times per month,Never,Never,Once a year or less,Once a month or less,Once a month or less,Never,Never,Never,45 - 59,Male,"$200,000 and up",South Atlantic
Atheist,,,,,,,,,,,,,60+,Female,"$50,000 to $74,999",Pacific
None of these,Undecided,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,18 - 29,Male,"$0 to $9,999",West North Central
Agnostic,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Never,Never,Never,Never,Never,Never,60+,Female,"$75,000 to $99,999",Pacific
Roman Catholic,,Less than weekly,A few times per week,Once a month or less,Every day,A few times per month,Once a month or less,A few times per month,Once a month or less,Once a month or less,Every day,Once a year or less,18 - 29,Male,"$25,000 to $49,999",South Atlantic
